title,year,rating
Jaani Dushman,1979,6
Noorie,1979,6.5
Alibaba Aur 40 Chor,1979,6.7
Gol Maal,1979,7.3
Kaala Patthar,1979,7.3
Muqaddar Ka Sikandar,1978,6.2
Trishul,1978,6.3
Don,1978,6.4
Khatta Meetha,1978,6.6
Satyam Shivam Sundaram,1978,7
Trishna,1978,9
Bhumika,1977,6.2
Amar Akbar Anthony,1977,6.8
Parvarish,1977,6.8
The Chess Players,1977,7.2
Anand Ashram,1977,7.4
Dharam Veer,1977,7.6
Kabhi Kabhie,1976,6.2
Chhoti Si Baat,1976,7.3
Julie,1975,3
Chori Mera Kaam,1975,5.2
Sholay,1975,7
Chupke Chupke,1975,7.1
Mili,1975,7.5
Rajnigandha,1974,5.5
Ankur,1974,6.2
5 Rifles,1974,7
Loafer,1973,4.2
Bobby,1973,6.1
Duvidha,1973,7.1
Raja Jani,1972,6.5
Amar Prem,1972,7.5
Hulchul,1971,4.8
Kati Patang,1971,6
Mera Gaon Mera Desh,1971,6
Haathi Mere Saathi,1971,6.8
Anand,1971,7
Sachaa Jhutha,1970,6.7
Mera Naam Joker,1970,7.5
Aradhana,1969,7
Padosan,1968,6.9
Jhuk Gaya Aasman,1968,6.9
Upkar,1967,5.2
Gumnaam,1965,6.2
Waqt,1965,6.6
Sangam,1964,7.5
Mughal-e-Azam,1960,7.1
Kaagaz Ke Phool,1959,6.8
Chalti Ka Naam Gaadi,1958,5.5
Mother India,1957,7.2
Pyaasa,1957,7.2
Mr. & Mrs. '55,1955,5.4
Boot Polish,1954,6.8
Anhonee,1952,6.3
Awaara,1951,7.2
